Year,Date,Time,Report_Date,Report_Time,ACC_CODE,Institution,Road_Code,Road,Kilometer,Province,Vehicle1,Path_Description,Path_Description_1,Path_Description_2,Presumed_Cause,Presumed_Cause_1,Presumed_Cause_2,Accident_Type,Accident_Type_1,Accident_Type_2,Weather,Latitude,Longitude,Number_of_Vehicles_Involved,Total_Number_of_Incidents,Motorcycle,Three-wheeled_Vehicle,Sedan,Van,Passenger_Pickup_Truck,Bus,Pickup_Truck,Truck_6,Truck_>6<10,Truck_>10,E-Tan,Other,Pedestrian,Number_of_Fatalities,Number_of_Severe_Injuries,Number_of_Minor_Injuries,Total_of_Injuries
2023,2/1/2023,10:36,6/1/2023,11:07,7552634,กรมทางหลวง,118,เชียงใหม่ - ดอยนางแก้ว,5.642,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,หลับใน,หลับใน,,ชนสิ่งกีดขวาง (บนผิวจราจร),ชนสิ่งกีดขวาง (บนผิวจราจร),,แจ่มใส,18.83520608,99.06025974,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,2/1/2023,22:00,3/1/2023,12:52,7542311,กรมทางหลวงชนบท,ชม.3037,แยกทางหลวงหมายเลข 107 (กม.ที่ 165+400) - ดอยผ้าห่มปก,3.17,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,,,,แจ่มใส,20.019207,99.234632,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,3/1/2023,16:20,4/1/2023,4:42,7543984,กรมทางหลวง,107,ล้องอ้อ - เมืองงาม,166.3,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,พลิกคว่ำ/ตกถนนในทางตรง,พลิกคว่ำ,ตกถนนในทางตรง,แจ่มใส,20.00355839,99.26179512,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,4/1/2023,8:00,5/1/2023,4:31,7545010,กรมทางหลวง,1001,บ้านโป่ง - พร้าว,92,เชียงใหม่,รถจักรยานยนต์,ทางโค้งกว้าง+ไม่มีความลาดชัน,ทางโค้งกว้าง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,พลิกคว่ำ/ตกถนนในทางโค้ง,พลิกคว่ำ,ตกถนนในทางโค้ง,แจ่มใส,19.34841248,99.19935465,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2023,4/1/2023,8:55,4/1/2023,19:21,7544660,กรมทางหลวง,107,ล้องอ้อ - เมืองงาม,148.765,เชียงใหม่,คนเดินเท้า,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,"คน,รถ,สัตว์ตัดหน้ากระชั้นชิด","คน,รถ,สัตว์ตัดหน้ากระชั้นชิด",,ชนคนเดินเท้า,ชนคนเดินเท้า,,แจ่มใส,19.88615912,99.19547365,1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
2023,4/1/2023,15:27,8/2/2023,14:13,7581110,กรมทางหลวง,108,ปากทางท่าลี่ - สะพานแม่กลาง,49.943,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,เมาสุรา,เมาสุรา,,ชนท้าย,ชนท้าย,,แจ่มใส,18.45125839,98.7451258,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,4/1/2023,16:30,5/1/2023,4:29,7545005,กรมทางหลวง,107,หัวโท - ล้องอ้อ,137.8,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนท้าย,ชนท้าย,,แจ่มใส,19.79206519,99.16646602,2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2023,5/1/2023,12:00,14/3/2023,10:36,7605503,กรมทางหลวง,121,เหมืองกุง - ต้นเปา,8,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,หลับใน,หลับใน,,ชนท้าย,ชนท้าย,,แจ่มใส,18.72720186,99.0189895,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1
2023,5/1/2023,17:34,8/2/2023,13:55,7581070,กรมทางหลวง,108,เชียงใหม่ - ปากทางท่าลี่,37.2,เชียงใหม่,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนท้าย,ชนท้าย,,แจ่มใส,18.51352837,98.83907155,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2023,5/1/2023,19:00,14/3/2023,14:51,7605337,กรมทางหลวง,1001,บ้านโป่ง - พร้าว,75.625,เชียงใหม่,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนคนเดินเท้า,ชนคนเดินเท้า,,แจ่มใส,19.20880588,99.17916171,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
2023,6/1/2023,1:30,14/3/2023,14:41,7605500,กรมทางหลวง,107,ล้องอ้อ - เมืองงาม,194.14,เชียงใหม่,รถปิคอัพบรรทุก 4 ล้อ,,,,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,พลิกคว่ำ/ตกถนนในทางตรง,พลิกคว่ำ,ตกถนนในทางตรง,แจ่มใส,20.07926788,99.47925494,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,6/1/2023,13:00,8/2/2023,13:54,7581063,กรมทางหลวง,108,เชียงใหม่ - ปากทางท่าลี่,28.97,เชียงใหม่,รถปิคอัพบรรทุก 4 ล้อ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนสิ่งกีดขวาง (บนผิวจราจร),ชนสิ่งกีดขวาง (บนผิวจราจร),,แจ่มใส,18.5710609,98.87822583,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,8/1/2023,11:00,14/3/2023,15:12,7605454,กรมทางหลวง,1095,หนองโค้ง - กิ่วคอหมา,30,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ทางโค้งกว้าง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,พลิกคว่ำ/ตกถนนในทางโค้ง,พลิกคว่ำ,ตกถนนในทางโค้ง,แจ่มใส,19.11804728,98.72160517,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,8/1/2023,19:46,11/1/2023,9:50,7556021,กรมทางหลวงชนบท,ชม.3059,แยกทางหลวงหมายเลข 107 (กม.ที่ 152+300) - เขื่อนพลังน้ำแม่มาว,4.3,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,,,,แจ่มใส,19.913943,99.162018,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2023,9/1/2023,3:00,14/3/2023,9:15,7605512,กรมทางหลวง,11,อุโมงค์ - รินคำ,547.092,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ยางเสื่อมสภาพ/ยางแตก,ยางเสื่อมสภาพ,ยางแตก,พลิกคว่ำ/ตกถนนในทางตรง,พลิกคว่ำ,ตกถนนในทางตรง,แจ่มใส,18.72236015,99.04172391,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,9/1/2023,17:30,14/3/2023,14:16,7605502,กรมทางหลวง,1349,สะเมิง - วัดจันทร์,8.375,เชียงใหม่,รถบรรทุก 6 ล้อ,ทางโค้งหักศอก+ที่ลาดชัน,ทางโค้งหักศอก,ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,พลิกคว่ำ/ตกถนนในทางโค้ง,พลิกคว่ำ,ตกถนนในทางโค้ง,แจ่มใส,18.85578003,98.67494926,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2023,9/1/2023,23:30,7/3/2023,13:24,7600587,กรมทางหลวง,1103,พระบาทตะเมาะ  - ฮอด,58.8,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางเชื่อมเข้าพื้นที่ส่วนบุคคล,ทางเชื่อมเข้าพื้นที่ส่วนบุคคล,,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,พลิกคว่ำ/ตกถนนในทางโค้ง,พลิกคว่ำ,ตกถนนในทางโค้ง,แจ่มใส,18.12732267,98.6499973,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,10/1/2023,1:00,11/1/2023,15:56,7556884,กรมทางหลวงชนบท,ลพ.2031,แยกทางหลวงหมายเลข 11 (กม.ที่ 509+708) - บ้านใหม่,23.7,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ทางโค้งกว้าง,ไม่มีความลาดชัน,เมาสุรา,เมาสุรา,,,,,มืดครึ้ม,18.608253,99.273397,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,2
2023,10/1/2023,3:00,14/3/2023,13:36,7605431,กรมทางหลวง,1001,เชียงใหม่ - บ้านโป่ง,8.55,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนท้าย,ชนท้าย,,แจ่มใส,18.88691788,99.01323885,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,10/1/2023,8:30,14/3/2023,10:14,7605406,กรมทางหลวง,118,เชียงใหม่ - ดอยนางแก้ว,17.592,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,"คน,รถ,สัตว์ตัดหน้ากระชั้นชิด","คน,รถ,สัตว์ตัดหน้ากระชั้นชิด",,ชนท้าย,ชนท้าย,,แจ่มใส,18.8859624,99.15874869,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023,10/1/2023,15:25,14/3/2023,13:54,7605335,กรมทางหลวง,1001,เชียงใหม่ - บ้านโป่ง,10.6,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนท้าย,ชนท้าย,,แจ่มใส,18.90338553,99.00457624,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,11/1/2023,20:30,14/3/2023,11:34,7605424,กรมทางหลวง,1001,เชียงใหม่ - บ้านโป่ง,2.95,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนท้าย,ชนท้าย,,แจ่มใส,18.83630167,99.01289444,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,11/1/2023,21:30,3/2/2023,13:26,7577605,กรมทางหลวง,108,เชียงใหม่ - ปากทางท่าลี่,47.3,เชียงใหม่,รถปิคอัพบรรทุก 4 ล้อ,,,,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,พลิกคว่ำ/ตกถนนในทางตรง,พลิกคว่ำ,ตกถนนในทางตรง,แจ่มใส,18.45428134,98.76948774,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,18,19
2023,12/1/2023,5:45,14/3/2023,10:20,7605517,กรมทางหลวง,118,เชียงใหม่ - ดอยนางแก้ว,23.705,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนท้าย,ชนท้าย,,แจ่มใส,18.90615997,99.20705926,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2023,12/1/2023,16:40,7/3/2023,14:06,7600621,กรมทางหลวง,1009,จอมทอง - ดอยอินทนนท์,34.84,เชียงใหม่,รถตู้,ทางตรง+ที่ลาดชัน,ทางตรง,ที่ลาดชัน,"คน,รถ,สัตว์ตัดหน้ากระชั้นชิด","คน,รถ,สัตว์ตัดหน้ากระชั้นชิด",,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),,แจ่มใส,18.50848868,98.51043994,3,3,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0
2023,13/1/2023,2:30,14/3/2023,15:01,7605468,กรมทางหลวง,1095,หนองโค้ง - กิ่วคอหมา,6.8,เชียงใหม่,รถปิคอัพบรรทุก 4 ล้อ,ทางโค้งกว้าง+ไม่มีความลาดชัน,ทางโค้งกว้าง,ไม่มีความลาดชัน,หลับใน,หลับใน,,พลิกคว่ำ/ตกถนนในทางโค้ง,พลิกคว่ำ,ตกถนนในทางโค้ง,แจ่มใส,19.09304844,98.88430895,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,13/1/2023,3:00,7/3/2023,11:29,7600547,กรมทางหลวง,1263,ปางอุ๋ง - แม่นาจร,63.575,เชียงใหม่,รถพ่วง,ทางโค้งหักศอก+ไม่มีความลาดชัน,ทางโค้งหักศอก,ไม่มีความลาดชัน,หลับใน,หลับใน,,พลิกคว่ำ/ตกถนนในทางตรง,พลิกคว่ำ,ตกถนนในทางตรง,แจ่มใส,18.6849974,98.32440063,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2023,13/1/2023,14:50,7/3/2023,14:57,7600699,กรมทางหลวง,121,ต้นเปา - ดอนแก้ว,25.6,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนท้าย,ชนท้าย,,แจ่มใส,18.84375709,99.01898548,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,14/1/2023,12:43,8/2/2023,14:04,7581089,กรมทางหลวง,108,เชียงใหม่ - ปากทางท่าลี่,41.09,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),ชนในทิศทางตรงกันข้าม (ไม่ใช่การแซง),,แจ่มใส,18.49162568,98.81119623,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,14/1/2023,21:00,14/3/2023,9:55,7605509,กรมทางหลวง,118,เชียงใหม่ - ดอยนางแก้ว,21.467,เชียงใหม่,รถจักรยานยนต์,ทางโค้งกว้าง+ที่ลาดชัน,ทางโค้งกว้าง,ที่ลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,พลิกคว่ำ/ตกถนนในทางโค้ง,พลิกคว่ำ,ตกถนนในทางโค้ง,แจ่มใส,18.89724621,99.18971264,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2023,15/1/2023,3:00,7/3/2023,14:25,7600659,กรมทางหลวง,108,ปากทางท่าลี่ - สะพานแม่กลาง,55.525,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนสิ่งกีดขวาง (บนผิวจราจร),ชนสิ่งกีดขวาง (บนผิวจราจร),,แจ่มใส,18.44335265,98.69372381,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2023,16/1/2023,1:50,17/1/2023,8:38,7561309,กรมทางหลวงชนบท,ชม.3035,แยกทางหลวงหมายเลข 108 (กม.ที่ 34+500) - บ้านร้อยจันทร์,16.365,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,หลับใน,หลับใน,,,,,แจ่มใส,18.657313,98.865846,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,16/1/2023,7:59,14/3/2023,14:26,7605493,กรมทางหลวง,107,ขี้เหล็กหลวง - แม่ทะลาย,46.5,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนท้าย,ชนท้าย,,แจ่มใส,19.1752271,98.94998266,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5
2023,16/1/2023,14:30,14/3/2023,13:54,7605481,กรมทางหลวง,1001,เชียงใหม่ - บ้านโป่ง,12.17,เชียงใหม่,รถจักรยานยนต์,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนท้าย,ชนท้าย,,แจ่มใส,18.91589716,98.99768737,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,16/1/2023,16:36,14/3/2023,14:39,7605495,กรมทางหลวง,107,หัวโท - ล้องอ้อ,127.7,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,ชนท้าย,ชนท้าย,,แจ่มใส,19.70863115,99.14386045,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2023,17/1/2023,18:10,20/1/2023,8:31,7565066,กรมทางหลวงชนบท,ชม.3035,แยกทางหลวงหมายเลข 108 (กม.ที่ 34+500) - บ้านร้อยจันทร์,22.2,เชียงใหม่,รถปิคอัพโดยสาร,ทางโค้งกว้าง+ไม่มีความลาดชัน,ทางโค้งกว้าง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,,,,แจ่มใส,18.694285,98.89864,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2023,17/1/2023,23:50,14/3/2023,14:13,7605492,กรมทางหลวง,1317,สันกลางใต้ - ห้วยแก้ว,9.3,เชียงใหม่,รถยนต์นั่งส่วนบุคคล/รถยนต์นั่งสาธารณะ,,,,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,พลิกคว่ำ/ตกถนนในทางตรง,พลิกคว่ำ,ตกถนนในทางตรง,แจ่มใส,18.7249563,99.10495162,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2
2023,18/1/2023,11:00,7/3/2023,14:23,7600654,กรมทางหลวง,108,สะพานแม่กลาง - บ้านบ่อแก้ว,66.1,เชียงใหม่,อื่นๆ,ทางตรง+ไม่มีความลาดชัน,ทางตรง,ไม่มีความลาดชัน,ขับรถเร็วเกินอัตรากำหนด,ขับรถเร็วเกินอัตรากำหนด,,พลิกคว่ำ/ตกถนนในทางตรง,พลิกคว่ำ,ตกถนนในทางตรง,แจ่มใส,18.35241333,98.67933886,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
